Sample in Buffer,Sample in Window,TRIGGER,Calibration_table/genblk1[1].MultiEdge_DelayChain_Top/AsynBus_shakehand/shakehand_in[95:0],Calibration_table/genblk1[1].MultiEdge_DelayChain_Top/AsynBus_shakehand/din_valid[17:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
147,147,0,ffffffff00000000ffffffff,00000
148,148,0,000000000000000000000000,00000
149,149,0,000000000000000000000000,00000
150,150,0,ffffffff00000000ffffffff,00000
151,151,0,ffffffff00000000ffffffff,00000
152,152,0,ffffffff00000000ffffffff,00000
153,153,0,ffffffff00000000ffffffff,00000
154,154,0,ff0000000000000000000000,3ffff
155,155,0,000000000000000000000000,00000
156,156,0,ffffffff00000000ffffffff,00000
157,157,0,000000000000000000000000,00000
158,158,0,000000000000000000000000,00000
159,159,0,ffffffff00000000ffffffff,00000
160,160,0,000000000000000000000000,00000
161,161,0,000000000000000000000000,00000
162,162,0,ffffffff00000000ffffffff,00000
163,163,0,ffffffff00000000ffffffff,00000
164,164,0,ffffffff00000000ffffffff,00000
165,165,0,ffffffff00000000ffffffff,00000
166,166,0,ffffa0000000000000000000,3ffff
167,167,0,000000000000000000000000,00000
168,168,0,ffffffff00000000ffffffff,00000
169,169,0,000000000000000000000000,00000
170,170,0,000000000000000000000000,00000
171,171,0,ffffffff00000000ffffffff,00000
172,172,0,000000000000000000000000,00000
173,173,0,000000000000000000000000,00000
174,174,0,ffffffff00000000ffffffff,00000
175,175,0,ffffffff00000000ffffffff,00000
176,176,0,ffffffff00000000ffffffff,00000
177,177,0,ffffffff00000000ffffffff,00000
178,178,0,ffffffe00000000000000000,00000
179,179,0,000000000000000000000000,3ffff
180,180,0,ffffffff00000000ffffffff,00000
181,181,0,000000000000000000000000,00000
182,182,0,000000000000000000000000,00000
183,183,0,ffffffff00000000ffffffff,00000
184,184,0,000000000000000000000000,00000
185,185,0,000000000000000000000000,00000
186,186,0,ffffffff00000000ffffffff,00000
187,187,0,ffffffff00000000ffffffff,00000
188,188,0,ffffffff00000000ffffffff,00000
189,189,0,ffffffff00000000ffffffff,00000
190,190,0,ffffffffe000000000000000,00000
191,191,0,000000000000000000000000,3ffff
192,192,0,ffffffff00000000ffffffff,00000
193,193,0,000000000000000000000000,00000
194,194,0,000000000000000000000000,00000
195,195,0,ffffffff00000000ffffffff,00000
196,196,0,000000000000000000000000,00000
197,197,0,000000000000000000000000,00000
198,198,0,ffffffff00000000ffffffff,00000
199,199,0,ffffffff00000000ffffffff,00000
200,200,0,ffffffff00000000ffffffff,00000
201,201,0,ffffffff00000000ffffffff,00000
202,202,0,fffffffffff8000000000000,00000
203,203,0,000000000000000000000000,3ffff
204,204,0,ffffffff00000000ffffffff,00000
205,205,0,000000000000000000000000,00000
206,206,0,000000000000000000000000,00000
207,207,0,ffffffff00000000ffffffff,00000
208,208,0,000000000000000000000000,00000
209,209,0,000000000000000000000000,00000
210,210,0,ffffffff00000000ffffffff,00000
211,211,0,ffffffff00000000ffffffff,00000
212,212,0,ffffffff00000000ffffffff,00000
213,213,0,ffffffff00000000ffffffff,00000
214,214,0,00fffffffffff80000000000,3ffff
215,215,0,000000000000000000000000,00000
216,216,0,ffffffff00000000ffffffff,00000
217,217,0,000000000000000000000000,00000
218,218,0,000000000000000000000000,00000
219,219,0,ffffffff00000000ffffffff,00000
220,220,0,000000000000000000000000,00000
221,221,0,000000000000000000000000,00000
222,222,0,ffffffff00000000ffffffff,00000
223,223,0,ffffffff00000000ffffffff,00000
224,224,0,ffffffff00000000ffffffff,00000
225,225,0,ffffffff00000000ffffffff,00000
226,226,0,00017ffffffffffa00000000,3ffff
227,227,0,000000000000000000000000,00000
228,228,0,ffffffff00000000ffffffff,00000
229,229,0,000000000000000000000000,00000
230,230,0,000000000000000000000000,00000
231,231,0,ffffffff00000000ffffffff,00000
232,232,0,000000000000000000000000,00000
233,233,0,000000000000000000000000,00000
234,234,0,ffffffff00000000ffffffff,00000
235,235,0,ffffffff00000000ffffffff,00000
236,236,0,ffffffff00000000ffffffff,00000
237,237,0,ffffffff00000000ffffffff,00000
238,238,0,0000011ffffffffffe000000,3ffff
239,239,0,000000000000000000000000,00000
240,240,0,ffffffff00000000ffffffff,00000
241,241,0,000000000000000000000000,00000
242,242,0,000000000000000000000000,00000
243,243,0,ffffffff00000000ffffffff,00000
244,244,0,000000000000000000000000,00000
245,245,0,000000000000000000000000,00000
246,246,0,ffffffff00000000ffffffff,00000
247,247,0,ffffffff00000000ffffffff,00000
248,248,0,ffffffff00000000ffffffff,00000
249,249,0,ffffffff00000000ffffffff,00000
250,250,0,000000001fffffffffff8000,3ffff
251,251,0,000000000000000000000000,00000
252,252,0,ffffffff00000000ffffffff,00000
253,253,0,000000000000000000000000,00000
254,254,0,000000000000000000000000,00000
255,255,0,ffffffff00000000ffffffff,00000
256,256,0,000000000000000000000000,00000
257,257,0,000000000000000000000000,00000
258,258,0,ffffffff00000000ffffffff,00000
259,259,0,ffffffff00000000ffffffff,00000
260,260,0,ffffffff00000000ffffffff,00000
