#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Fri May 02 10:49:36 2025

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       PTDC_16CH_map.ncd
#OUTPUT FILE:      PTDC_16CH_pad.csv
#PART TYPE:        xc6slx9
#SPEED GRADE:      -2
#PACKAGE:          ftg256
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
D4,,,GND,,,,,,,,,,,,
D5,coarse_time<4>,IOB,IO_L3P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
D6,coarse_time<12>,IOB,IO_L7P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
D7,,,VCCO_0,,,0,,,,,any******,,,,
D8,coarse_time<24>,IOB,IO_L38P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
D9,coarse_time<29>,IOB,IO_L40N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
D10,,,VCCO_0,,,0,,,,,any******,,,,
D11,coarse_time<38>,IOB,IO_L66P_SCP1_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
D12,coarse_time<39>,IOB,IO_L66N_SCP0_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
D13,,,GND,,,,,,,,,,,,
D14,coarse_time<46>,IOB,IO_L31P_A19_M1CKE_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
D15,,,VCCO_1,,,1,,,,,2.50,,,,
D16,HIT<5>,IOB,IO_L31N_A18_M1A12_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
E1,M_FULL_DATA<58>,IOB,IO_L46N_M3CLKN_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
E2,,IOBM,IO_L46P_M3CLK_3,UNUSED,,3,,,,,,,,,
E3,,IOBS,IO_L54N_M3A11_3,UNUSED,,3,,,,,,,,,
