Sample in Buffer,Sample in Window,TRIGGER,Calibration_table/genblk1[0].MultiEdge_DelayChain_Top/AsynBus_shakehand/dstore_1[47:0],Calibration_table/genblk1[0].MultiEdge_DelayChain_Top/AsynBus_shakehand/dstore[447:48],Calibration_table/genblk1[0].MultiEdge_DelayChain_Top/AsynBus_shakehand/dout_valid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX
263,263,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
264,264,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
265,265,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
266,266,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
267,267,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
268,268,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
269,269,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
270,270,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
271,271,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
272,272,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
273,273,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
274,274,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
275,275,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
276,276,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
277,277,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
278,278,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
279,279,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
280,280,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
281,281,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
282,282,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
283,283,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
284,284,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
285,285,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
286,286,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
287,287,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
288,288,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
289,289,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
290,290,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
291,291,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
292,292,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
293,293,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
294,294,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
295,295,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
296,296,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
297,297,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
298,298,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
299,299,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
300,300,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
301,301,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
302,302,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
303,303,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
304,304,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
305,305,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
306,306,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
307,307,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
308,308,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
309,309,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
310,310,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
311,311,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
312,312,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
313,313,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
314,314,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
315,315,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
316,316,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
317,317,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
318,318,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
319,319,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
320,320,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
321,321,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
322,322,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
323,323,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
324,324,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
325,325,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
326,326,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
327,327,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
328,328,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
329,329,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
330,330,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
331,331,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
332,332,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
333,333,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
334,334,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
335,335,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
336,336,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
337,337,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
338,338,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
339,339,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
340,340,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
341,341,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
342,342,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
343,343,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
344,344,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
345,345,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
346,346,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
347,347,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
348,348,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
349,349,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
350,350,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
351,351,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
352,352,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
353,353,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
354,354,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
355,355,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
356,356,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
357,357,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
358,358,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
359,359,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
360,360,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
361,361,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
362,362,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
363,363,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
364,364,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
365,365,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
366,366,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
367,367,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
368,368,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
369,369,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
370,370,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
371,371,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
372,372,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
373,373,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
374,374,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
375,375,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
376,376,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
377,377,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
378,378,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
379,379,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
380,380,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
381,381,0,a00000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
382,382,0,a00000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
383,383,0,a00000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
384,384,0,a00000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
385,385,0,a00000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
386,386,0,a00000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
387,387,0,a00000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
388,388,0,fff800000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
389,389,0,fff800000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
390,390,0,fff800000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
391,391,0,fff800000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
392,392,0,fff800000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
393,393,0,fff800000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
394,394,0,fff800000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
395,395,0,fffffe000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
396,396,0,fffffe000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
397,397,0,fffffe000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
398,398,0,fffffe000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
399,399,0,fffffe000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
400,400,0,fffffe000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
401,401,0,fffffe000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
402,402,0,fffffe000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
403,403,0,fffffffe0000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
404,404,0,fffffffe0000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
405,405,0,fffffffe0000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
406,406,0,fffffffe0000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
407,407,0,fffffffe0000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
408,408,0,fffffffe0000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
409,409,0,fffffffe0000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
410,410,0,ffffffffff80,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
411,411,0,ffffffffff80,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
412,412,0,ffffffffff80,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
413,413,0,ffffffffff80,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
414,414,0,ffffffffff80,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
415,415,0,ffffffffff80,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
416,416,0,ffffffffff80,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
417,417,0,01fffffffffc,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
418,418,0,01fffffffffc,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
419,419,0,01fffffffffc,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
420,420,0,01fffffffffc,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
421,421,0,01fffffffffc,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
422,422,0,01fffffffffc,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
423,423,0,01fffffffffc,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
424,424,0,0007ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
425,425,0,0007ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
426,426,0,0007ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
427,427,0,0007ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
428,428,0,0007ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
429,429,0,0007ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
430,430,0,0007ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
431,431,0,0007ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
432,432,0,0001ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
433,433,0,0001ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
434,434,0,0001ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
435,435,0,0001ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
436,436,0,0001ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
437,437,0,0001ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
438,438,0,0001ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
439,439,0,0000ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
440,440,0,0000ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
441,441,0,0000ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
442,442,0,0000ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
443,443,0,0000ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
444,444,0,0000ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
445,445,0,0000ffffffff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
446,446,0,00007dfbbcff,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
447,447,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
448,448,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
449,449,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
450,450,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
451,451,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
452,452,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
453,453,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
454,454,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
455,455,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
456,456,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
457,457,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
458,458,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
459,459,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
460,460,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
461,461,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
462,462,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
463,463,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
464,464,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
465,465,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
466,466,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
467,467,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
468,468,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
469,469,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
470,470,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
471,471,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
472,472,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
473,473,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
474,474,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
475,475,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
476,476,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
477,477,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
478,478,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
479,479,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
480,480,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
481,481,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
482,482,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
483,483,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
484,484,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
485,485,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
486,486,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
487,487,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
488,488,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
489,489,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
490,490,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
491,491,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
492,492,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
493,493,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
494,494,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
495,495,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
496,496,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
497,497,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
498,498,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
499,499,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
500,500,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
501,501,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
502,502,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
503,503,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
504,504,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
505,505,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
506,506,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
507,507,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
508,508,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
509,509,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
510,510,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
511,511,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
512,512,1,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
513,513,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
514,514,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
515,515,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
516,516,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
517,517,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
518,518,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
519,519,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
520,520,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
521,521,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
522,522,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
523,523,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
524,524,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
525,525,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
526,526,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
527,527,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
528,528,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
529,529,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
530,530,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
531,531,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
532,532,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
533,533,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
534,534,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
535,535,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
536,536,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
537,537,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
538,538,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
539,539,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
540,540,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
541,541,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
542,542,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
543,543,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
544,544,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
545,545,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
