Sample in Buffer,Sample in Window,TRIGGER,Calibration_table/genblk1[0].MultiEdge_DelayChain_Top/AsynBus_shakehand/dstore_1[47:0],Calibration_table/genblk1[0].MultiEdge_DelayChain_Top/AsynBus_shakehand/dstore[447:48],Calibration_table/genblk1[0].MultiEdge_DelayChain_Top/AsynBus_shakehand/dout_valid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX
60,60,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
61,61,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
62,62,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
63,63,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
64,64,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
65,65,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
66,66,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
67,67,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
68,68,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
69,69,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
70,70,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
71,71,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
72,72,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
73,73,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
74,74,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
75,75,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
76,76,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
77,77,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
78,78,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
79,79,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
80,80,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
81,81,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
82,82,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
83,83,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
84,84,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
85,85,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
86,86,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
87,87,0,000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
